sep=;
Kategorie;BibKey;Eintragstyp;AutorIn;HerausgeberIn;Jahr;Titel;Buchtitel / Journal;Auflage;Band;Heft;Seiten;Verlag;Ort;Institution;Schriftenart;Reihe;DOI;URL;Zugriffsdatum;Anmerkung;Umfangshinweis
Frage 4: SOLUX / Enrichment / Inklusion;brunner2021hochbegabung;book;"Brunner, Esther; Gyseler, Dominik; Lienhard, Peter";;2021;Hochbegabung (k)ein Problem? Zuweisung und Förderung von Kindern und Jugendlichen mit besonderen Begabungen;;3;;;;Haupt;Bern;;;;;;;;Kap. Identifikation, Fördermodelle im Schweizer Kontext: ca. 25 S.
Frage 5: Beratung, Kooperation, Profession;burow2021positive;book;Burow, Olaf-Axel;;2021;Positive Pädagogik: Sieben Wege zu Lernfreude und Schulglück;;2;;;;Beltz;Weinheim;;;;;;;;Kap. Stärkenorientierung, Schulentwicklung: ca. 50 S.
Frage 5: Beratung, Kooperation, Profession;burow2020future;book;Burow, Olaf-Axel;;2020;Future Fridays – Warum wir das Schulfach Zukunft brauchen;;;;;;Beltz;Weinheim;;;;;;;;Kap. Lernkultur, Zukunftskompetenzen: ca. 30 S.
Frage 5: Beratung, Kooperation, Profession;leikhof2021jugendliche;thesis;Leikhof, Ulrike;;2021;Jugendliche mit Migrationshintergrund in der Begabungsförderung – eine Bestandsaufnahme;;;;;;;;Universität zu Köln;Dissertation;;;;;;Kap. 1–3: ca. 60 S.
Frage 5: Beratung, Kooperation, Profession;kosoroklabhart2021voneltern;book;"Košorok Labhart, Carmen; Schöllhorn, Angelika; Luginbühl, Dora";;2021;Von Eltern mit Migrationshintergrund lernen: Denkanstösse für die kultursensible Praxis in Spielgruppe, Kita und Schule;;;;;;hep Verlag;Bern;;;;;;;;ca. 30 S.
Frage 5: Beratung, Kooperation, Profession;macha2019gender;incollection;Macha, Hildegard;"Reintjes, Christian; Kunze, Ingrid; Ossowski, Ekkehard";2019;Gender und diversitätssensible Begabungsförderung und Professionalisierung;Begabungsförderung und Professionalisierung: Befunde, Perspektiven, Herausforderungen;;;;160–172;Verlag Julius Klinkhardt;Bad Heilbrunn;;;;;;;;13 S.
Kontextquellen (Statistik, Policy);bfs2022migration;report;Bundesamt für Statistik BFS;;2022;Migration und Integration: Migrationsbewegungen und Bevölkerung mit Migrationshintergrund;;;;;;;Neuchâtel;Bundesamt für Statistik;;;;;;;
Kontextquellen (Statistik, Policy);erzinger2023pisa;report;"Erzinger, Andrea B.; Pham, Giang; Prosperi, Oliver; Salvisberg, Miriam";;2023;PISA 2022: Die Schweiz im Fokus;;;;;;;;Universität Bern;;;;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-99216.html;;;
Kontextquellen (Statistik, Policy);stamm2014mirage;book;"Stamm, Margrit; Leumann, Seraina; Kost, Jakob";;2014;Erfolgreiche Migranten: Ihr Ausbildungs- und Berufserfolg im Schweizer Berufsbildungssystem;;;;;;Waxmann;Münster;;;;;;;;
Kontextquellen (Statistik, Policy);stern2025intelligenz;article;Stern, Elsbeth;;2025;Die Intelligenz kann sich im Schulalter noch verändern;Bildung Schweiz: Zeitschrift des LCH;;;3;;Dachverband Lehrerinnen und Lehrer Schweiz LCH;Zürich;;;;;;;;
Kontextquellen (Statistik, Policy);kellerkoller2011erkennen;online;Keller-Koller, Irène;;2011;Begabte mit Migrationshintergrund – Erkennen und Fördern;;;;;;;;;;;;https://www.lissa-preis.ch;;;
Kontextquellen (Statistik, Policy);lemas2023begriffsklaerung;online;Leistung macht Schule;;2023;Begriffsklärung von Begabungs-, Begabten-, Potenzial- und Talentförderung;;;;;;;;;;;;https://www.leistung-macht-schule.de/files/241205_Leistung-macht-Schule-Begriffsklaerung.pdf;2026-03-30;;
Kontextquellen (Statistik, Policy);dvs2025bbf;online;Dienststelle Volksschulbildung Luzern;;2025;Integrative Begabungs- und Begabtenförderung;;;;;;;;;;;;https://volksschulbildung.lu.ch/unterricht_organisation/uo_foerderangebote/uo_fa_begabungsfoerderung;2026-03-30;;
Ergänzungsliteratur: Fachartikel-Exzerpte;mun2020identifying;article;"Mun, Rachel U.; Hemmler, Vonna; Langley, Susan Dulong; Ware, Sharon; Gubbins, E. Jean; Callahan, Carolyn M.; McCoach, D. Betsy; Siegle, Del";;2020;Identifying and Serving English Learners in Gifted Education: Looking Back and Moving Forward;Journal for the Education of the Gifted;;43;4;297–335;;;;;;10.1177/0162353220955230;;;;38 S. Systematisches Review, 50 Artikel 1974–2018.
Ergänzungsliteratur: Fachartikel-Exzerpte;gubbins2020promising;article;"Gubbins, E. Jean; Siegle, Del; Peters, Pamela M.; Carpenter, Ashley Y.; Hamilton, Rashea; McCoach, D. Betsy; Puryear, Jeb S.; Langley, Susan Dulong; Long, Daniel";;2020;Promising Practices for Improving Identification of English Learners for Gifted and Talented Programs;Journal for the Education of the Gifted;;43;4;336–369;;;;;;10.1177/0162353220955241;;;;34 S. Qualitative Feldstudie, 16 Schulen, 225 Interviews.
Ergänzungsliteratur: Fachartikel-Exzerpte;alhroub2021utility;article;Al-Hroub, Anies;;2021;Utility of Psychometric and Dynamic Assessments for Identifying Cognitive Characteristics of Twice-Exceptional Students;Frontiers in Psychology;;12;;Article 747872;;;;;;10.3389/fpsyg.2021.747872;;;;16 S. Empirische Studie, 30 2E-Kinder, Jordanien.
Ergänzungsliteratur: Fachartikel-Exzerpte;alodat2025equitable;article;Alodat, Ali M.;;2025;Equitable Identification Practices for Gifted Refugee Students: A Systematic Review and Comparative Thematic Analysis;Gifted Child Quarterly;;;;;;;;;;10.1177/00169862251392600;;;OnlineFirst;26 Studien 2000–2024, 5 Kernthemen, Flucht/Migration.
